	-8.9417	-8.0417	-7.1417	-6.2417	-5.3417	-4.4417	-3.5417
5.43129	0.00800117	0.00721329	0.0103777	0.0105983	0.00834677	0.00816906	0.0114267
4.40464	0.00759177	0.00951475	0.00982363	0.0109361	0.00799515	0.0105136	0.00852276
3.378	0.00926548	0.00806169	0.0109384	0.00910924	0.00837009	0.00757036	0.00981949
2.35136	0.00684058	0.00819909	0.00952155	0.00916112	0.00913275	0.00952904	0.0125849
1.32471	0.00949795	0.0106862	0.00937557	0.00835712	0.0120592	0.00949044	0.00789697
0.298067	0.00956046	0.0082004	0.0102601	0.0103355	0.00942343	0.00986684	0.0116349
-0.728577	0.00775	0.0101877	0.00781664	0.0112867	0.00986677	0.0112999	0.00879359
-1.75522	0.0113418	0.0109821	0.00846938	0.0105119	0.009602	0.00957765	0.0102144
-2.78187	0.0067114	0.00424537	0.009275	0.00949038	0.00772495	0.0102018	0.00923832
-3.80851	0.0106283	0.0107436	0.00852762	0.0075941	0.00900296	0.00881744	0.00965267
-4.83515	0.00837889	0.00740304	0.00729255	0.00837953	0.00992253	0.00689613	0.00807025
-5.8618	0.0133094	0.00711481	0.00842836	0.00631502	0.00869861	0.00670022	0.00722409
-6.88844	0.00664505	0.0114869	0.00993039	0.00782801	0.0105203	0.00529834	0.00405189
