	-8.9417	-8.0417	-7.1417	-6.2417	-5.3417	-4.4417	-3.5417
5.43129	9.66	2.42667	1.66667	1.38667	-2.93333	5.4	2.34005
4.40464	-6.92667	9.3	6	5.41333	4.62	-1.26	-8.73333
3.378	-1.32	-0.733333	6.7	14.9533	1.75333	6.99333	7.24
2.35136	1.10667	2.28	0.273333	3.11333	-4.94667	-2.52667	-2.15333
1.32471	4.88	3.9	1.89333	-2.05339	3.15333	4.14667	-2.32
0.298067	7.77333	7.92667	2.72667	-0.38	-2.45333	5.2	10.7933
-0.728577	6	-0.68	-6.96	2.33333	12.7	-2.18	10.3267
-1.75522	14.12	13.6933	9.24667	4.8	-4.07333	7.66	0.493333
-2.78187	10.5533	2.77333	11.52	17.04	0.113333	4.38667	7.52667
-3.80851	3.08	6.56667	15.0533	6.64	13.58	17.1267	18.64
-4.83515	27.6667	25.4267	15.86	11.12	19.12	17.8267	20.6
-5.8618	21.9533	22.8933	21.4467	31.8467	21.1867	31.1067	31.0733
-6.88844	23.4	22.6933	32.8467	22.2133	23.5133	26.56	28.8933
